"nHBAcc","nHBDon","naAromAtom","nAtomP","nB","nAromBond","nRotB","ALogP","ALogp2","AMR","XLogP","MLogP","apol","TopoPSA","MW","bpol","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","nAcid","nBase","MOMI-X","MOMI-Y","MOMI-Z","MOMI-XY","MOMI-XZ","MOMI-YZ","MOMI-R","AllSurfaceArea"
"8","5","0","6","33","0","21","-1.3467999999999989","1.813870239999997","131.4506","2.228","3.2199999999999998","80.58371999999997","175.25","496.26070831999994","48.882279999999994","0.7457377791263984","-0.2988140528473091","-0.15222260126812165","0.1980562218054326","-0.03834188549457989","45.494527854248645","38.830668071442666","48.101126854457156","51.858309224785486","47.99852481520175","2","1","28584.12715023886","26053.219102456736","2530.908047782127","1.0971437747415813","11.29402041108825","10.294020411088251","12.506680882721263","1056.4617397766447"
"5","2","0","6","29","0","18","-2.559799999999999","6.5525760399999955","110.6694","4.7940000000000005","3.2199999999999998","72.49454799999997","153.43","438.2314195399999","44.147451999999994","0.7095197644488669","-0.29294428404312306","-0.11708067909056763","0.06641163196158448","0.13273497342698182","40.36007851743122","34.166212227949224","41.8832094138971","45.77868539326195","41.279011131253725","2","1","23113.377992226666","21497.372913237556","1616.0050789891054","1.0751722122285003","14.30278796319457","13.302787963194566","11.544712617410994","896.7171693164388"
"4","0","0","5","4","0","0","-2.0134","4.05377956","8.6416","-1.7640000000000002","0.9099999999999999","6.107999999999999","88.64","95.95172948000001","8.392","0.4098844755891558","-0.32790758047132434","0.12296534267674648","0.0","0.0","14.225629180613794","14.225597806609004","10.646814213245676","0.0","0.0","2","0","142.25302205488788","83.71970086686386","58.53332118802402","1.6991582695822964","2.430291313864367","1.430291313864367","2.409755987045484","345.74118906920364"
"5","1","6","13","19","6","7","-0.0118999999999983","1.4160999999995955E-4","69.6578","2.287","2.2299999999999995","42.757066999999985","83.06","285.10347923999996","30.184932999999997","0.39945047226255864","-0.25340212996721867","0.12610939671529545","-0.04553524357873757","0.024786484255454017","28.585609481890273","28.89258719950565","37.16191579149864","40.32897227652447","36.3268232056106","1","0","3440.9965551145838","2936.065072578548","504.9314825360361","1.1719755761722912","6.814779181191193","5.814779181191194","6.159787081730715","547.6843192758205"
"4","0","0","5","4","0","0","NaN","NaN","NaN","-0.15299999999999997","0.58","86.408","86.25","183.89292582","46.392","NaN","NaN","NaN","NaN","NaN","36.07809252071006","22.599354690640183","10.646814213245676","0.0","0.0","3","3","839.7620471807725","773.9742496645873","65.78779751618507","1.0849999822922989","12.764708333246372","11.76470833324637","3.456809159559407","355.9066793103656"
"0","1","6","13","13","6","2","2.5806","6.65949636","34.3647","2.2579999999999996","1.35","19.437171999999997","106.51","184.01202126","6.884828","0.18464778854164207","0.011641398019496825","-0.021326203372707273","-0.046917887068667695","-0.06148685657698992","17.59230578025769","15.878302231759916","22.20621766659906","22.539109101114036","19.230110032912343","0","0","1451.0182447474162","1083.4676898065854","367.55055494083047","1.3392353628989562","3.9478058874948676","2.9478058874948667","5.3333217824369","408.7761411973155"
"3","1","6","7","19","6","9","2.736200000000001","7.486790440000006","78.2578","3.9260000000000006","2.45","44.37306699999999","40.54","303.07928436000003","24.548932999999995","0.3731311692937772","-0.16856973489978533","-0.0904469613918049","0.12572250474879376","-0.027467362784148262","36.334818188055934","24.066271032682657","29.00692200140405","28.881151001836415","30.637448445197954","1","0","6881.3511696518235","6116.718169283744","764.6330003680813","1.1250070673858783","8.999547712875666","7.999547712875668","8.12112091839935","604.2821644191887"
"2","1","6","12","19","6","5","3.3571","11.27012041","57.207300000000004","2.6390000000000002","1.79","32.971723000000004","72.24","276.07217696","18.508277","0.4834590169408119","-0.23643606191829375","0.1248041105690235","-0.06980486683312952","-0.2294530682229093","26.549500126303744","22.682916305382605","37.40660398161091","34.978628041342","36.17993994345615","0","0","3555.2090259695137","2889.692166758174","665.5168592113388","1.2303071818054432","5.342026992648336","4.342026992648334","6.572862425072149","540.0533989014818"
"3","2","6","12","20","6","5","2.7566000000000006","7.598843560000003","58.4533","1.6920000000000002","1.68","33.773723","92.47","292.06709158","18.508277","0.577400440459874","-0.24098635236952792","0.022810049982962998","-6.395532516819888E-6","-0.22961493687539003","28.32396916184469","24.01500828251517","41.4028799130086","38.30655867394955","37.512031920588704","0","0","4074.8927036859113","3391.3365390679237","683.5561646179873","1.2015595198953202","5.961313663176762","4.961313663176761","6.744070952299013","542.328451943918"
"4","1","16","21","32","17","3","4.1543","17.25820849","101.35429999999998","5.255999999999999","2.89","56.449066999999985","65.78","399.13944805999995","31.032932999999996","0.6965251646466354","-0.28656149398609176","-0.07219427676767855","-0.13695737002442618","0.18251349775793044","35.40743628853758","35.65548355307201","53.257978655156705","59.51796124911561","57.637506295616454","1","1","7574.7366889768","4749.499083289389","2825.23760568741","1.5948495949031154","2.681097219479275","1.681097219479275","8.571746000836205","656.5253121769837"
