@relation Output

@attribute nHBAcc numeric
@attribute nHBDon numeric
@attribute naAromAtom numeric
@attribute nAtomP numeric
@attribute nB numeric
@attribute nAromBond numeric
@attribute nRotB numeric
@attribute ALogP numeric
@attribute ALogp2 numeric
@attribute AMR numeric
@attribute XLogP numeric
@attribute MLogP numeric
@attribute apol numeric
@attribute TopoPSA numeric
@attribute MW numeric
@attribute bpol numeric
@attribute ATSc1 numeric
@attribute ATSc2 numeric
@attribute ATSc3 numeric
@attribute ATSc4 numeric
@attribute ATSc5 numeric
@attribute ATSm1 numeric
@attribute ATSm2 numeric
@attribute ATSm3 numeric
@attribute ATSm4 numeric
@attribute ATSm5 numeric
@attribute nAcid numeric
@attribute nBase numeric
@attribute MOMI-X numeric
@attribute MOMI-Y numeric
@attribute MOMI-Z numeric
@attribute MOMI-XY numeric
@attribute MOMI-XZ numeric
@attribute MOMI-YZ numeric
@attribute MOMI-R numeric
@attribute AllSurfaceArea numeric
@attribute Association {Yes}

@data
31,20,36,9,138,40,65,1.5052,2.265627,476.7666,8.583,8.17,292.709055,519.89,1810.03342,174.492945,3.021552,-1.418733,-0.251865,1.465817,-2.357046,150.23113,149.628385,214.257128,237.453683,256.893798,0,0,373587.4362,319952.2589,53635.17732,1.167635,6.965344,5.965344,25.39595,2497.143354,Yes
23,5,0,3,85,0,15,-3.1214,9.743138,318.9594,8.407,5.75,204.858023,278.8,1201.841369,148.383977,2.262532,-1.241788,-0.052118,1.367504,-2.255536,98.253412,93.80438,136.723095,174.219812,205.902902,0,0,57283.03075,34515.39145,22767.6393,1.659637,2.515985,1.515985,13.63816,1521.491754,Yes
7,4,0,4,31,0,11,-1.8959,3.594437,105.0247,2.275,3.22,70.098548,124.29,424.246104,43.187452,0.707501,-0.286659,0.047167,-0.226979,0.214435,35.421283,33.656736,48.534042,51.313472,55.079256,1,0,9654.957794,7590.882462,2064.075332,1.271915,4.677619,3.677619,8.883941,656.297334,Yes
2,1,6,9,22,6,10,1.1983,1.435923,75.9332,3.242,2.34,45.877653,56.84,318.155513,29.738347,0.597872,-0.293579,-0.046724,0.021872,0.043369,28.775031,25.627457,35.912491,33.705176,31.677605,0,1,6648.205553,4873.463691,1774.741862,1.364164,3.746013,2.746013,8.731317,618.759908,Yes
5,1,16,6,24,16,5,1.0052,1.010427,76.4747,0.383,1.9,39.397516,81.65,306.104065,22.124484,0.576827,-0.283381,0.010781,-0.047209,0.029265,27.938439,27.877442,40.092793,36.009488,43.393359,0,0,3764.959412,2023.489755,1741.469658,1.860627,2.161944,1.161944,6.971318,508.081566,Yes
14,5,0,3,53,0,7,-2.4621,6.061936,181.4808,1.141,3.99,121.321131,193.91,733.461242,88.636869,1.756091,-0.738111,-0.268427,-0.060231,0.534467,61.428078,59.808293,95.614806,121.254972,126.313884,0,1,18844.24181,11070.00093,7774.240875,1.70228,2.423933,1.423933,10.032951,954.243911,Yes
1,0,9,11,15,10,0,0.8565,0.733592,42.9263,1.552,1.68,26.75193,61.82,194.080376,20.10807,0.527095,-0.431025,0.377406,-0.332663,0.119802,16.988859,17.492185,26.903327,30.093703,23.788202,0,0,1240.126236,761.042872,479.083364,1.629509,2.58854,1.58854,4.985133,458.317217,Yes
6,1,15,12,49,16,10,3.8668,14.952142,158.5172,3.631,3.88,94.16972,117.78,608.273381,61.69628,1.477245,-0.841041,0.019615,0.255435,-0.409942,51.690182,55.144381,80.191865,97.484776,100.836991,0,1,26287.49925,23619.71902,2667.780229,1.112947,9.853697,8.853697,11.056037,943.921652,Yes
14,5,0,3,54,0,7,-2.5265,6.383202,188.5654,1.888,4.1,126.713096,180.08,748.508526,95.124904,1.728255,-0.785134,-0.30968,0.029864,0.536272,62.013589,60.974747,96.449168,120.646519,126.927238,0,2,17684.93267,10367.72722,7317.205445,1.705768,2.416897,1.416897,9.622625,928.778857,Yes
3,1,15,12,28,16,7,3.4133,11.650617,91.2461,0.513,2.12,48.683895,105.54,383.075133,32.230105,0.956711,-0.571368,0.001434,0.149333,-0.101609,39.309658,38.049184,52.792896,54.209152,54.876893,0,0,9842.046621,9226.917245,615.129376,1.066667,15.999962,14.999962,7.91886,733.038319,Yes
