nHBAcc,nHBDon,naAromAtom,nAtomP,nB,nAromBond,nRotB,ALogP,ALogp2,AMR,XLogP,MLogP,apol,TopoPSA,MW,bpol,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,nAcid,nBase,MOMI-X,MOMI-Y,MOMI-Z,MOMI-XY,MOMI-XZ,MOMI-YZ,MOMI-R,AllSurfaceArea,BE0001061,BE0001188,BE0003640,BE0003648,BE0003647,BE0001004,BE0003659,BE0001042,BE0003644,BE0003667,BE0003668,BE0001069,BE0003657,BE0001067,BE0000703,BE0001032
31,20,36,9,138,40,65,1.5052,2.26562704,476.7666,8.583,8.17,292.709055,519.89,1810.03342,174.492945,3.021551624,-1.41873297,-0.251865175,1.465817101,-2.357046406,150.2311303,149.6283851,214.257128,237.4536828,256.8937981,0,0,373587.4362,319952.2589,53635.17732,1.167634939,6.965343548,5.965343548,25.39594994,2497.143354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,27,24,7,154,24,44,-13.9882,195.6697392,494.0152,-4.364,5.42,310.25109,990.68,2138.869562,175.01291,4.345206701,-1.859728935,-0.404569641,1.546254237,-2.594469454,201.1777174,188.7154052,252.2196851,281.8521057,320.8614609,0,6,254660.5104,170039.2287,84621.28169,1.497657407,3.00941448,2.00941448,21.28267126,2723.586071,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,5,0,3,85,0,15,-3.1214,9.74313796,318.9594,8.407,5.75,204.858023,278.8,1201.841369,148.383977,2.262531962,-1.241787602,-0.052118129,1.367503616,-2.255536125,98.25341174,93.80437979,136.7230951,174.2198124,205.9029017,0,0,57283.03075,34515.39145,22767.6393,1.659637291,2.515984639,1.515984639,13.63816027,1521.491754,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1
11,8,12,10,34,12,10,-0.6667,0.44448889,109.8899,-0.746,2.12,61.288239,211.56,445.1709816,32.935761,1.007500808,-0.536918223,0.041838801,0.115893826,-0.078992747,39.16667632,38.15291699,55.4148814,56.41568086,51.05515678,2,0,20584.43957,19664.72245,919.717125,1.046769901,22.38127248,21.38127248,10.07712545,854.8955761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,5,5,11,5,3,-1.1658,1.35908964,37.7205,-3.429,1.57,21.465137,92,155.0694766,12.116863,0.36327053,-0.166559274,-0.022189003,0.019872984,-0.042460911,13.62887897,12.49509362,16.62954296,12.26965295,9.522710055,1,1,1104.217557,949.639666,154.5778908,1.16277531,7.143437857,6.143437857,4.700566668,410.6190534,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,0,5,5,0,1,-0.4937,0.24373969,17.9897,-0.426,1.46,10.353172,54.37,88.01604402,6.288828,0.35904443,-0.104311925,-0.155083496,0.079873206,0,8.323407107,5.996275931,8.102836944,6.213122025,0,1,0,248.9428924,149.4113826,99.53150987,1.666157479,2.501146549,1.501146549,3.323377261,312.1653521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,6,6,12,6,3,0.5898,0.34786404,45.2267,-1.379,2.12,25.878723,63.32,165.0789787,12.323277,0.244096457,-0.084418814,-0.06899473,0.021324345,0.006424153,13.90891837,12.83036589,16.77101686,14.93728908,9.996547821,1,1,1285.341193,1101.006339,184.3348541,1.167423972,6.97286034,5.97286034,4.931851175,427.9075487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,6,0,2,-1.5741,2.47779081,29.0791,-0.837,1.79,20.037102,20.23,104.1075392,17.944898,0.206637512,-0.123255354,-0.041947571,0.112123561,-0.050239391,8.134449337,6.99681971,8.49827391,4.553461597,3.996275931,0,2,343.6988352,297.613846,46.08498911,1.15484827,7.457934608,6.457934608,3.181352062,306.3133831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,2,9,0,5,-2.7491,7.55755081,32.4333,-2.949,1.68,23.699102,89.34,146.1055278,14.942898,0.269482194,-0.101275559,-0.069375354,0.045074758,0.018387607,12.26889867,9.996547821,11.93719879,11.10347101,6.996547821,1,2,1257.042907,1137.416372,119.6265348,1.105173917,10.50806085,9.508060849,4.886179585,466.5866493,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,5,0,4,11,0,6,-2.1807,4.75545249,36.4993,-2.924,1.46,25.899102,125.22,174.1116758,15.602898,0.345268737,-0.179953971,-0.005452272,0.041067391,-0.015908402,14.98885928,12.49509362,16.01713969,13.43583488,9.328911687,1,4,2093.249903,1927.628198,165.6217052,1.085919943,12.6387414,11.6387414,5.617368111,518.7485738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0,7,12,0,2,-1.7593,3.09513649,36.4585,-0.178,1.46,20.706344,107.22,176.032088,11.619656,0.633946807,-0.168417924,-0.218943378,0.072371181,-0.021219868,16.64681421,14.32464384,21.42748078,24.30355003,15.31595897,0,0,1144.842669,892.496852,252.3458172,1.282741409,4.536800656,3.536800656,4.766673589,387.4188662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,13,0,11,-3.423,11.716929,54.9638,-0.682,2.12,39.336618,76.1,202.215747,28.423382,0.190041069,-0.087327177,0.003313053,-0.062339118,0.043488468,15.43992121,13.9970916,12.9970916,11.9970916,11.05232447,0,4,4959.509525,4935.454284,24.05524136,1.004873967,206.17168,205.17168,5.10358097,636.0641274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,2,8,0,3,-1.3518,1.82736324,26.5327,-3.707,1.35,16.015551,100.62,133.0375078,8.908449,0.443169575,-0.153674412,-0.009053868,-0.022156504,-0.205223729,12.45785644,9.494549842,13.20966985,10.60147304,8.435291103,2,1,732.8349307,578.840031,153.9948997,1.266040515,4.758825988,3.758825988,4.361588521,343.8733732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,2,9,0,4,-2.0348,4.14041104,29.6665,-4.077,1.46,20.07393,106.41,146.0691423,11.52807,0.387437843,-0.144949895,-0.053844229,0.081662619,-0.04917559,13.04336771,10.3286398,13.82275236,11.43556299,7.328639798,1,1,1061.707499,895.1576118,166.5498871,1.186056494,6.374711611,5.374711611,4.82409052,376.1147777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,2,6,0,2,-1.5955,2.54562025,22.041,-3.956,1.35,13.453551,83.55,105.0425931,7.950449,0.345500259,-0.089178397,-0.091039946,-0.081877676,0.08934589,9.683387408,7.162457865,9.103108833,8.656660723,3.548938071,1,1,393.8990921,288.1422919,105.7568002,1.367029774,3.724574602,2.724574602,3.701012592,314.1437374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,2,8,0,4,-0.7303,0.53333809,35.8782,-1.853,1.57,21.738723,88.62,149.0510497,14.603277,0.268681221,-0.102501807,-0.05722512,0.022278036,-0.039176135,17.03667141,12.1699363,12.44080206,11.60707429,9.44742443,1,1,1010.55604,890.5128448,120.0431952,1.134802317,8.418270093,7.418270093,4.481004726,419.9516698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,6,7,13,6,3,0.4498,0.20232004,46.8457,-1.785,2.01,26.680723,83.55,181.0738933,12.323277,0.29900269,-0.102401794,-0.080043601,0.023326284,0.028614497,15.68338741,14.16245786,19.43520081,17.60147304,11.3286398,1,1,1728.654086,1538.427529,190.2265573,1.123649996,9.087343587,8.087343587,5.258574447,406.1531159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
